date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:40	119/119	---M-Z	200	added ('OK')	text/plain	etag:%221129-1679119551;gz%22	https://join.futurebillionr.com/robots.txt		(from )
22:28:41	239461/239461	---M-Z	200	added ('OK')	text/html	etag:%221138-1679149870;gz%22	https://join.futurebillionr.com/	C:/My%20Web%20Sites/new%20site%20101/join.futurebillionr.com/index.html	(from )
22:28:41	40618/40618	---M-Z	200	added ('OK')	text/css	etag:%229eaa-63fe4108-d5a2464cdffbfbf3;gz%22	https://join.futurebillionr.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.0.2	C:/My%20Web%20Sites/new%20site%20101/join.futurebillionr.com/wp-content/themes/astra/assets/css/minified/main.min05da.css	(from https://join.futurebillionr.com/)
22:28:41	94889/94889	---M-Z	200	added ('OK')	text/css	etag:%22172a9-63fdd1d2-106b783bb647bc9;gz%22	https://join.futurebillionr.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/My%20Web%20Sites/new%20site%20101/join.futurebillionr.com/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://join.futurebillionr.com/)
22:28:42	776/776	---M-Z	200	added ('OK')	text/css	etag:%22308-63fde7c2-88d3e89630ab9e5c;gz%22	https://join.futurebillionr.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.13	C:/My%20Web%20Sites/new%20site%20101/join.futurebillionr.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor1f62.css	(from https://join.futurebillionr.com/)
22:28:42	85698/85698	---M-Z	200	added ('OK')	text/css	etag:%2214ec2-63fe3d30-51abe5c02c3e347f;gz%22	https://join.futurebillionr.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.11.2	C:/My%20Web%20Sites/new%20site%20101/join.futurebillionr.com/wp-content/plugins/elementor/assets/css/frontend-lite.min991d.css	(from https://join.futurebillionr.com/)
22:28:42	1754/1754	---M-Z	200	added ('OK')	application/rss+xml	etag:%2298a3f603dea5f2e980b76ea10f97d013%22	https://join.futurebillionr.com/index.php/feed/	C:/My%20Web%20Sites/new%20site%20101/join.futurebillionr.com/index.php/feed/index.html	(from https://join.futurebillionr.com/)
22:28:42	1694/1694	---M-Z	200	added ('OK')	application/rss+xml	etag:%2298a3f603dea5f2e980b76ea10f97d013%22	https://join.futurebillionr.com/index.php/comments/feed/	C:/My%20Web%20Sites/new%20site%20101/join.futurebillionr.com/index.php/comments/feed/index.html	(from https://join.futurebillionr.com/)
22:28:42	3509/3509	---M-Z	200	added ('OK')	text/css	etag:%22db5-63fe427e-523eabd27da4e919;gz%22	https://join.futurebillionr.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=5.6.0	C:/My%20Web%20Sites/new%20site%20101/join.futurebillionr.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min0969.css	(from https://join.futurebillionr.com/)
22:28:43	5192/5192	---M-Z	200	added ('OK')	text/css	etag:%221448-63fe429c-2099e5b6de502399;gz%22	https://join.futurebillionr.com/wp-content/uploads/essential-addons-elementor/eael-8.css?ver=1679149681	C:/My%20Web%20Sites/new%20site%20101/join.futurebillionr.com/wp-content/uploads/essential-addons-elementor/eael-864b0.css	(from https://join.futurebillionr.com/)
